iter	Passed	Remaining
1416	284937	16690
1417	285143	16489
1418	285332	16287
1419	285515	16085
1420	285694	15883
1421	285876	15680
1422	286193	15486
1423	286377	15284
1424	286574	15082
1425	286773	14881
1426	286987	14681
1427	287206	14481
1428	287412	14280
1429	287654	14080
1430	287864	13880
1431	288068	13679
1432	288260	13477
1433	288445	13275
1434	288624	13073
1435	288809	12871
1436	288991	12669
1437	289170	12467
1438	289349	12265
1439	289552	12064
1440	289740	11863
1441	289921	11661
1442	290107	11459
1443	290320	11258
1444	290505	11057
1445	290691	10855
1446	290876	10654
1447	291053	10452
1448	291228	10250
1449	291430	10049
1450	291628	9848
1451	291828	9647
1452	292032	9446
1453	292234	9245
1454	292425	9044
1455	292616	8842
1456	292823	8641
1457	293009	8440
1458	293202	8239
1459	293382	8037
1460	293567	7836
1461	293754	7635
1462	293958	7434
1463	294152	7233
1464	294340	7032
1465	294523	6830
1466	294716	6629
1467	294910	6428
1468	295100	6227
1469	295382	6028
1470	295592	5827
1471	295781	5626
1472	295967	5425
1473	296161	5224
1474	296353	5022
1475	296534	4821
1476	296721	4620
1477	296912	4419
1478	297119	4218
1479	297335	4018
1480	297543	3817
1481	297727	3616
1482	297912	3415
1483	298096	3213
1484	298273	3012
1485	298448	2811
1486	298633	2610
1487	298807	2409
1488	298996	2208
1489	299186	2007
1490	299376	1807
1491	299567	1606
1492	299783	1405
1493	300024	1204
1494	300215	1004
1495	300390	803
1496	300570	602
1497	300758	401
1498	300948	200
1499	301128	0
